"n_tweetid","s_userid","s_tweettext","n_retweetvolume","n_favoritevolume","s_tweeturl","s_tweettime","r_tweetsentimentscore","r_tweetsentimentsmagnitude","n_tweetvalidstrcount"
34,"@nhk_hensei","／◆ ◆一挙アンコール?◆＼◆◆古代エジプトの美の最高峰 ・ツタンカーメンの秘宝◆超高精細8Kカメラで世界初の撮影したBS8Kでのシリーズを放送◆◆（1）「黄金のファラオ」◆（2）「ファラオの愛と死」◆（3）「三千年の封印を解け」◆◆23日（木）午後3時［］",19,33,"https://twitter.com/nhk_hensei/status/1252900118946144256","2020-04-22 10:00:40",0.3,2.9,129
35,"@tatsunoritoku","星5サーヴァント配布って、現金給付10万円より凄いんでは。◆ ",17,22,"https://twitter.com/tatsunoritoku/status/1254004511636484100","2020-04-25 11:09:08",0.2,0.2,31
36,"@dengekionline","【追記】『FGO』2000万DL記念PU召喚が開催。武蔵ちゃんやギルも日替りで対象に◆◆ ",108,112,"https://twitter.com/dengekionline/status/1254004219893301248","2020-04-25 11:07:58",0,0.5,45
37,"@eigacom","【明日のファミリー】◆◆明日の「」は、人気シリーズ第7弾「ワイルド・スピード SKY MISSION」を放送。◆◆ポール・ウォーカーが出演した最後のワイスピで、ジェイソン・ステイサム演じるデッカード・ショウが初参戦してます?◆◆作品情報は ",346,585,"https://twitter.com/eigacom/status/1253632275578642433","2020-04-24 10:30:00",0.3,1.4,120
38,"@cinematoday","号泣必至のラストも放送！今夜『ワイルド・スピード SKY MISSION』吹き替え声優は？ ",108,214,"https://twitter.com/cinematoday/status/1253809449803763712","2020-04-24 22:14:02",0.2,0.5,46
39,"@WildSpeed_jp"," シリーズの日本車ミニカーが新発売◆◆ホットウィールからマツダ RX-7やニッサン・シルビア（S15）などを含む5車種のワイスピカープレミアムシリーズが登場！◆◆ヘッドライトやエンブレム類などこだわりの細部にも注目！◆◆ ",692,2881,"https://twitter.com/WildSpeed_jp/status/1252069478780764163","2020-04-20 03:00:00",0.7,2.2,111
40,"@INSIDEjp","『FGO』孔明や玉藻の前、アルトリア（セイバー）も対象！ ★5サーヴァントが1騎もらえる2000万DLキャンペーンを発表",7,4,"https://twitter.com/INSIDEjp/status/1254014808636063744","2020-04-25 11:50:03",0,1.2,60
41,"@SekinoKouhei","、◆同じジャックラッセルで◆血統書付きでチャッピーと◆お見合いしてくれる◆わんちゃん◆募集中です！！??◆◆◆◆◆ ",17,162,"https://twitter.com/SekinoKouhei/status/1253634908011982848","2020-04-24 10:40:28",0.3,2.5,58
42,"@DeadpoolMovieJP","俺ちゃんの中のライアン・レイノルズちゃんが、マブダチのヒュー・ジャックマンと一緒に、話題のチャリティ活動 に参加したよん? 気になる奴はチェック ? ",544,1730,"https://twitter.com/DeadpoolMovieJP/status/1252571459962064896","2020-04-21 12:14:42",0.7,0.7,75
43,"@mollyfantasy_of","クレーンゲームの達人 こと 深澤辰哉さんにお家でクレーンゲームに飽きるまで遊んでいただきたいです◆◆弊社のモーリーオンラインは自宅でも遊べるのと 24時間営業なので何時間でも何日でも遊び続けられます?◆→◆ ",1524,4070,"https://twitter.com/mollyfantasy_of/status/1253479259827396610","2020-04-24 00:21:58",0.4,1.2,104
